"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 28 13:07:10 UTC 2026","Tue Jul 28 13:07:10 UTC 2026","2","","AdminListingService — Tests unitaires","","com.tortiki.api.application.service.AdminListingServiceTest","updateStatus_shouldAcceptDeletedStatus","updateStatus() accepte le statut DELETED","updateStatus accepte DELETED comme statut valide"
"passed","Tue Jul 28 13:07:07 UTC 2026","Tue Jul 28 13:07:07 UTC 2026","9","","ListingController — Tests unitaires WebMvcTest","","com.tortiki.api.infrastructure.adapter.in.web.ListingControllerTest","create_shouldReturn400_whenBodyIsInvalid","POST /listings — retourne 400 si le corps est invalide","Corps invalide — HTTP 400 Bad Request, le use case n'est pas appelé."
"passed","Tue Jul 28 13:07:07 UTC 2026","Tue Jul 28 13:07:07 UTC 2026","21","","ListingWebMapper — Tests unitaires","","com.tortiki.api.infrastructure.adapter.in.web.ListingWebMapperTest","toResponseShouldHandleNullCuisineType","toResponse — gère un cuisineType null sans lever d'exception","Le mapper ne lève pas d'exception lorsque cuisineType est null (annonce en cours de création, origine culinaire pas encore renseignée)."
"passed","Tue Jul 28 13:07:10 UTC 2026","Tue Jul 28 13:07:10 UTC 2026","2","","FindReviewsService — Tests unitaires","","com.tortiki.api.application.service.FindReviewsServiceTest","findByListingId_shouldReturnEmptyList_whenNoReviewsExist","Doit retourner une liste vide si l'annonce n'a aucune évaluation","Une annonce sans évaluation retourne une liste vide, sans exception."
"passed","Tue Jul 28 13:07:11 UTC 2026","Tue Jul 28 13:07:11 UTC 2026","2","","UserService — Tests unitaires","","com.tortiki.api.application.service.UserServiceTest","register_shouldThrowException_whenEmailAlreadyExists","register — lève UserAlreadyExistsException si l'email est déjà utilisé","Email déjà enregistré — UserAlreadyExistsException levée, aucune persistance."
"passed","Tue Jul 28 13:07:11 UTC 2026","Tue Jul 28 13:07:11 UTC 2026","2","","SubmitReviewService — Tests unitaires","","com.tortiki.api.application.service.SubmitReviewServiceTest","shouldThrowWhenCommandRatingIsInvalid","Command doit lever IllegalArgumentException si rating < 1","Note invalide (0) — IllegalArgumentException levée dès la construction."
"passed","Tue Jul 28 13:07:10 UTC 2026","Tue Jul 28 13:07:10 UTC 2026","199","","MinioStorageAdapter — tests unitaires","","com.tortiki.api.infrastructure.adapter.out.storage.MinioStorageAdapterTest","upload_echecMinio_leveStorageException","upload() — échec MinIO → lève StorageException",""
"passed","Tue Jul 28 13:07:10 UTC 2026","Tue Jul 28 13:07:10 UTC 2026","73","","NominatimGateway — Tests unitaires","","com.tortiki.api.infrastructure.adapter.out.geolocation.NominatimGatewayTest","geocode_shouldReturnEmpty_whenCityIsBlank","geocode : retourne Optional.empty() si city est blank","Vérifie que geocode() retourne Optional.empty() immédiatement
sans appeler WebClient lorsque city est une chaîne vide ou espaces.
Aucune requête HTTP ne doit être émise.
"
"passed","Tue Jul 28 13:07:11 UTC 2026","Tue Jul 28 13:07:11 UTC 2026","2","","CuisineTypeService — Tests unitaires","","com.tortiki.api.application.service.CuisineTypeServiceTest","update_shouldUpdateExistingCuisineType","update — met à jour le nom et la description d'une origine existante","Mise à jour d'une origine existante — les nouvelles valeurs sont persistées."
"passed","Tue Jul 28 13:07:05 UTC 2026","Tue Jul 28 13:07:05 UTC 2026","73","","CuisineTypeController — Tests unitaires WebMvcTest","","com.tortiki.api.infrastructure.adapter.in.web.CuisineTypeControllerTest","create_shouldReturn201_whenAdminCreates","POST /cuisine-types — retourne 201 si la création réussit (ADMIN)","Admin crée une origine culinaire — HTTP 201."
"passed","Tue Jul 28 13:07:10 UTC 2026","Tue Jul 28 13:07:10 UTC 2026","7","","ReviewController — Tests unitaires","","com.tortiki.api.infrastructure.adapter.in.web.ReviewControllerTest","shouldReturn400WhenListingIdIsNull","POST /reviews — 400 si listingId est null","listingId absent — 400 Bad Request retourné par Bean Validation."
"passed","Tue Jul 28 13:07:09 UTC 2026","Tue Jul 28 13:07:09 UTC 2026","13","","AuthController — Tests unitaires WebMvcTest","","com.tortiki.api.infrastructure.adapter.in.web.AuthControllerTest","register_shouldReturn400_whenBodyIsInvalid","POST /register — retourne 400 si les champs obligatoires sont absents","Champs manquants dans la requête — HTTP 400 Bad Request."
"passed","Tue Jul 28 13:07:04 UTC 2026","Tue Jul 28 13:07:04 UTC 2026","106","","com.tortiki.api.TortikiApiApplicationTests","","com.tortiki.api.TortikiApiApplicationTests","contextLoads","contextLoads()",""
"passed","Tue Jul 28 13:07:10 UTC 2026","Tue Jul 28 13:07:10 UTC 2026","8","","ReviewController — Tests unitaires","","com.tortiki.api.infrastructure.adapter.in.web.ReviewControllerTest","shouldReturn409WhenReviewAlreadyExists","POST /reviews — 409 si l'acheteur a déjà évalué cette annonce","Théo tente de noter deux fois la même annonce — 409 Conflict retourné."
"passed","Tue Jul 28 13:07:06 UTC 2026","Tue Jul 28 13:07:07 UTC 2026","5","","SellerDashboardController","","com.tortiki.api.infrastructure.adapter.in.web.SellerDashboardControllerTest","shouldReturn403ForBuyerOnGet","Doit retourner 403 pour ROLE_BUYER sur GET tableau de bord","Un acheteur tente d'accéder au tableau de bord vendeur — 403 retourné."
"passed","Tue Jul 28 13:07:10 UTC 2026","Tue Jul 28 13:07:10 UTC 2026","3","","MinioStorageAdapter — tests unitaires","","com.tortiki.api.infrastructure.adapter.out.storage.MinioStorageAdapterTest","upload_bucketExistant_retourneUrl","upload() — cas nominal : bucket existant → retourne l'URL publique",""
"passed","Tue Jul 28 13:07:11 UTC 2026","Tue Jul 28 13:07:11 UTC 2026","132","","UserService — Tests unitaires","","com.tortiki.api.application.service.UserServiceTest","register_shouldStoreHashedPassword_notPlainText","register — stocke le hash BCrypt et non le mot de passe en clair","Le mot de passe stocké est le hash BCrypt, jamais le mot de passe en clair."
"passed","Tue Jul 28 13:07:09 UTC 2026","Tue Jul 28 13:07:09 UTC 2026","7","","ReviewController — Tests unitaires","","com.tortiki.api.infrastructure.adapter.in.web.ReviewControllerTest","shouldReturn401ForUnauthenticated","POST /reviews — 401 pour un utilisateur non authentifié","Utilisateur non authentifié tente de soumettre une évaluation — 401 retourné."
"passed","Tue Jul 28 13:07:10 UTC 2026","Tue Jul 28 13:07:10 UTC 2026","38","","NominatimGateway — Tests unitaires","","com.tortiki.api.infrastructure.adapter.out.geolocation.NominatimGatewayTest","geocode_shouldReturnCoordinates_whenCityIsKnown","geocode : retourne les coordonnées GPS pour Nancy","Vérifie que geocode() retourne les coordonnées GPS correctes
lorsque Nominatim renvoie un résultat valide pour Nancy.
Latitude et longitude sont parsées depuis les chaînes JSON Nominatim.
"
"passed","Tue Jul 28 13:07:11 UTC 2026","Tue Jul 28 13:07:11 UTC 2026","4","","ListingService — Tests unitaires","","com.tortiki.api.application.service.ListingServiceTest","update_shouldUpdateListing_whenSellerIsOwner","update — met à jour une annonce et re-géocode si l'adresse change","Sofia modifie son annonce avec une nouvelle adresse — Nominatim appelé."
"passed","Tue Jul 28 13:07:06 UTC 2026","Tue Jul 28 13:07:06 UTC 2026","6","","AdminListingController — Tests unitaires","","com.tortiki.api.infrastructure.adapter.in.web.AdminListingControllerTest","updateStatus_shouldReturn403_whenNotAdmin","PATCH /admin/listings/{id}/status retourne 403 si le rôle ADMIN est absent","Utilisateur sans ROLE_ADMIN, HTTP 403 Forbidden"
"passed","Tue Jul 28 13:07:11 UTC 2026","Tue Jul 28 13:07:11 UTC 2026","4","","SubmitReviewService — Tests unitaires","","com.tortiki.api.application.service.SubmitReviewServiceTest","shouldThrowWhenNoConfirmedRequest","Doit lever ReviewNotAllowedException si pas de demande confirmée","Aucune demande CONFIRMED — ReviewNotAllowedException levée."
"passed","Tue Jul 28 13:07:11 UTC 2026","Tue Jul 28 13:07:11 UTC 2026","3","","ListingService — Tests unitaires","","com.tortiki.api.application.service.ListingServiceTest","update_shouldNotCallGeolocation_whenAddressUnchanged","update — ne re-géocode pas si l'adresse est identique","Sofia modifie son annonce sans changer l'adresse — Nominatim non appelé."
"passed","Tue Jul 28 13:07:11 UTC 2026","Tue Jul 28 13:07:11 UTC 2026","2","","CuisineTypeService — Tests unitaires","","com.tortiki.api.application.service.CuisineTypeServiceTest","findById_shouldReturnCuisineType_whenFound","findById — retourne l'origine culinaire correspondant à l'id","Récupération d'une origine par son identifiant — retourne l'objet."
"passed","Tue Jul 28 13:07:10 UTC 2026","Tue Jul 28 13:07:10 UTC 2026","2","","BuyerContactRequestService — Tests unitaires","","com.tortiki.api.application.service.BuyerContactRequestServiceTest","shouldReturnEmptyListWhenBuyerHasNoContactRequests","findByBuyer retourne une liste vide si aucune demande","L'acheteur n'a soumis aucune demande — une liste vide est retournée."
"passed","Tue Jul 28 13:07:11 UTC 2026","Tue Jul 28 13:07:11 UTC 2026","2","","UserService — Tests unitaires","","com.tortiki.api.application.service.UserServiceTest","findById_shouldReturnUser_whenExists","findById — retourne l'utilisateur si l'identifiant existe","Recherche par identifiant existant — utilisateur retourné."
"passed","Tue Jul 28 13:07:24 UTC 2026","Tue Jul 28 13:07:25 UTC 2026","286","","SearchListingRepositoryIT","","com.tortiki.api.infrastructure.adapter.out.persistence.SearchListingRepositoryIT","shouldReturnListingsWithinRadius","Doit retourner les annonces dans le rayon de recherche","Recherche dans un rayon de 10 km — retourne les annonces actives."
"passed","Tue Jul 28 13:07:11 UTC 2026","Tue Jul 28 13:07:11 UTC 2026","2","","ListingService — Tests unitaires","","com.tortiki.api.application.service.ListingServiceTest","create_shouldThrowCuisineTypeNotFoundException_whenCuisineTypeNotFound","create — lève CuisineTypeNotFoundException si l'origine culinaire est inconnue","Origine culinaire introuvable lors de la création — CuisineTypeNotFoundException."
"passed","Tue Jul 28 13:07:05 UTC 2026","Tue Jul 28 13:07:05 UTC 2026","138","","CuisineTypeController — Tests unitaires WebMvcTest","","com.tortiki.api.infrastructure.adapter.in.web.CuisineTypeControllerTest","delete_shouldReturn409_whenCuisineTypeStillInUse","DELETE /cuisine-types/{id} — retourne 409 si des annonces actives la référencent","Origine encore référencée par des annonces actives — HTTP 409 Conflict."
"passed","Tue Jul 28 13:07:11 UTC 2026","Tue Jul 28 13:07:11 UTC 2026","2","","SearchListingsService — Tests unitaires","","com.tortiki.api.application.service.SearchListingsServiceTest","search_shouldEnrichCriteriaWithCoordinates_whenCityIsProvided","search : enrichit les critères avec coordonnées GPS si city fournie","Vérifie que search() appelle GeolocationPort.geocode() lorsque city
est renseignée, puis transmet les coordonnées enrichies au repository.
"
"passed","Tue Jul 28 13:07:25 UTC 2026","Tue Jul 28 13:07:25 UTC 2026","17","","SearchListingRepositoryIT","","com.tortiki.api.infrastructure.adapter.out.persistence.SearchListingRepositoryIT","shouldReturnEmptyListWhenNoListingsInArea","Doit retourner une liste vide si aucune annonce dans la zone","Recherche dans une zone sans annonce — retourne une liste vide."
"passed","Tue Jul 28 13:07:10 UTC 2026","Tue Jul 28 13:07:10 UTC 2026","1","","AdminListingService — Tests unitaires","","com.tortiki.api.application.service.AdminListingServiceTest","findAll_shouldReturnAllListings","findAll() retourne toutes les annonces du repository","findAll délègue au port out et retourne toutes les annonces"
"passed","Tue Jul 28 13:07:06 UTC 2026","Tue Jul 28 13:07:06 UTC 2026","22","","SearchListingController — Tests unitaires WebMvcTest","","com.tortiki.api.infrastructure.adapter.in.web.SearchListingControllerTest","search_shouldReturn200WithEmptyList_whenNoResults","GET /search : retourne 200 avec liste vide si aucun résultat","Vérifie que GET /api/v1/listings/search retourne HTTP 200
avec une liste vide lorsqu'aucune annonce ne correspond.
"
"passed","Tue Jul 28 13:07:10 UTC 2026","Tue Jul 28 13:07:10 UTC 2026","97","","UserDetailsServiceImpl — Tests unitaires","","com.tortiki.api.infrastructure.adapter.out.persistence.UserDetailsServiceImplTest","loadUserByUsername_shouldReturnUserDetails_withBuyerRole","loadUserByUsername retourne UserDetails avec ROLE_BUYER pour un acheteur actif","Théo est acheteur — loadUserByUsername retourne un UserDetails avec ROLE_BUYER."
"passed","Tue Jul 28 13:07:08 UTC 2026","Tue Jul 28 13:07:08 UTC 2026","15","","AllergenController — Tests unitaires","","com.tortiki.api.infrastructure.adapter.in.web.AllergenControllerTest","shouldReturn403WhenSellerTriesToCreateAllergen","POST /api/v1/allergens — retourne 403 pour ROLE_SELLER","Un vendeur ne peut pas créer d'allergène — réservé à ROLE_ADMIN."
"passed","Tue Jul 28 13:07:08 UTC 2026","Tue Jul 28 13:07:08 UTC 2026","25","","ContactRequestController","","com.tortiki.api.infrastructure.adapter.in.web.ContactRequestControllerTest","shouldReturn400WhenPortionsIsNull","POST /api/v1/contact-requests → 400 si portions absent","Le body ne contient pas portions — 400 Requête invalide."
"passed","Tue Jul 28 13:07:06 UTC 2026","Tue Jul 28 13:07:06 UTC 2026","34","","SellerDashboardController","","com.tortiki.api.infrastructure.adapter.in.web.SellerDashboardControllerTest","shouldReturn404WhenContactRequestNotFound","Doit retourner 404 si demande introuvable ou hors périmètre","La demande n'existe pas ou est hors périmètre vendeur — 404 retourné."
"passed","Tue Jul 28 13:07:11 UTC 2026","Tue Jul 28 13:07:11 UTC 2026","4","","ListingService — Tests unitaires","","com.tortiki.api.application.service.ListingServiceTest","updatePhoto_shouldUploadAndPersistPhotoUrl_whenSellerIsOwner","updatePhoto — upload la photo via StoragePort et persiste l'URL","Sofia upload la photo de son annonce — StoragePort appelé, URL persistée."
"passed","Tue Jul 28 13:07:10 UTC 2026","Tue Jul 28 13:07:10 UTC 2026","3","","ManageContactRequestService","","com.tortiki.api.application.service.ManageContactRequestServiceTest","shouldConfirmPendingContactRequest","Doit confirmer une demande PENDING → CONFIRMED","Le vendeur confirme une demande PENDING — statut mis à jour en CONFIRMED."
"passed","Tue Jul 28 13:07:08 UTC 2026","Tue Jul 28 13:07:08 UTC 2026","6","","BuyerContactRequestController — Tests unitaires","","com.tortiki.api.infrastructure.adapter.in.web.BuyerContactRequestControllerTest","shouldReturn403WhenSellerTriesToAccess","GET /contact-requests/my — 403 pour ROLE_SELLER","Un vendeur tente de consulter l'historique acheteur — 403 Forbidden."
"passed","Tue Jul 28 13:07:11 UTC 2026","Tue Jul 28 13:07:11 UTC 2026","2","","UserService — Tests unitaires","","com.tortiki.api.application.service.UserServiceTest","findById_shouldThrowException_whenNotFound","findById — lève UserNotFoundException si l'identifiant est inconnu","Identifiant inconnu en base — UserNotFoundException levée avec l'id dans le message."
"passed","Tue Jul 28 13:07:11 UTC 2026","Tue Jul 28 13:07:11 UTC 2026","2","","ListingService — Tests unitaires","","com.tortiki.api.application.service.ListingServiceTest","findById_shouldThrowException_whenNotFound","findById — lève ListingNotFoundException si l'id est inconnu","Annonce introuvable — ListingNotFoundException levée avec l'id dans le message."
"passed","Tue Jul 28 13:07:07 UTC 2026","Tue Jul 28 13:07:07 UTC 2026","14","","SellerDashboardController","","com.tortiki.api.infrastructure.adapter.in.web.SellerDashboardControllerTest","shouldReturn200WhenConfirmingPendingRequest","Doit retourner 200 lors de la confirmation d'une demande PENDING","Le vendeur confirme une demande PENDING — 200 avec la demande mise à jour."
"passed","Tue Jul 28 13:07:11 UTC 2026","Tue Jul 28 13:07:11 UTC 2026","3","","ContactRequestService","","com.tortiki.api.application.service.ContactRequestServiceTest","shouldThrowWhenDuplicateContactRequestExists","Doit lever ContactRequestAlreadyExistsException si doublon","Un acheteur soumet une seconde demande pour la même annonce — exception levée."
"passed","Tue Jul 28 13:07:10 UTC 2026","Tue Jul 28 13:07:10 UTC 2026","66","","AllergenService — Tests unitaires","","com.tortiki.api.application.service.AllergenServiceTest","findById_shouldThrowException_whenNotFound","findById lève AllergenNotFoundException si l'id est inconnu","Allergène introuvable lève AllergenNotFoundException avec l'id dans le message."
"passed","Tue Jul 28 13:07:10 UTC 2026","Tue Jul 28 13:07:10 UTC 2026","4","","ManageContactRequestService","","com.tortiki.api.application.service.ManageContactRequestServiceTest","shouldRefusePendingContactRequest","Doit refuser une demande PENDING → REFUSED","Le vendeur refuse une demande PENDING — statut mis à jour en REFUSED."
"passed","Tue Jul 28 13:07:11 UTC 2026","Tue Jul 28 13:07:11 UTC 2026","4","","ContactRequestService","","com.tortiki.api.application.service.ContactRequestServiceTest","shouldThrowWhenBuyerNotFound","Doit lever UserNotFoundException si acheteur absent ou inactif","L'acheteur est introuvable ou son compte est inactif — UserNotFoundException levée."
"passed","Tue Jul 28 13:07:10 UTC 2026","Tue Jul 28 13:07:10 UTC 2026","12","","MinioStorageAdapter — tests unitaires","","com.tortiki.api.infrastructure.adapter.out.storage.MinioStorageAdapterTest","upload_bucketAbsent_creeBucketPuisUploade","upload() — bucket absent → crée le bucket puis upload",""
"passed","Tue Jul 28 13:07:07 UTC 2026","Tue Jul 28 13:07:07 UTC 2026","6","","SellerDashboardController","","com.tortiki.api.infrastructure.adapter.in.web.SellerDashboardControllerTest","shouldReturn401ForUnauthenticatedOnGet","Doit retourner 401 pour un utilisateur non authentifié sur GET tableau de bord","Un utilisateur non authentifié accède au tableau de bord — 401 retourné."
"passed","Tue Jul 28 13:07:06 UTC 2026","Tue Jul 28 13:07:06 UTC 2026","8","","AdminListingController — Tests unitaires","","com.tortiki.api.infrastructure.adapter.in.web.AdminListingControllerTest","updateStatus_shouldReturn400_whenStatusInvalid","PATCH /admin/listings/{id}/status retourne 400 si le statut est invalide","Statut invalide, HTTP 400, le use case n'est pas appelé"
"passed","Tue Jul 28 13:07:11 UTC 2026","Tue Jul 28 13:07:11 UTC 2026","2","","CuisineTypeService — Tests unitaires","","com.tortiki.api.application.service.CuisineTypeServiceTest","delete_shouldThrowException_whenCuisineTypeNotFound","delete — lève CuisineTypeNotFoundException si l'id est inconnu","Suppression d'une origine introuvable — exception métier levée."
"passed","Tue Jul 28 13:07:05 UTC 2026","Tue Jul 28 13:07:05 UTC 2026","9","","CuisineTypeController — Tests unitaires WebMvcTest","","com.tortiki.api.infrastructure.adapter.in.web.CuisineTypeControllerTest","delete_shouldReturn204_whenAdminDeletesUnusedCuisineType","DELETE /cuisine-types/{id} — retourne 204 si la suppression réussit (ADMIN)","Admin supprime une origine non utilisée — HTTP 204."
